ParentAcct ,Security ,TxnNum ,Date,TxnType,Desc,Buy,Sell,Short,Cover,Commison,Income,Expense,transfer,secQuantity,MktPrice,Position,LongBasis,ShortBasis,OpenValue,CumUnrealGain,PerUnrealGain,PerRealGain,PerInc_Exp,PerTotalGain,CumTotalGain
StockBrokerage1,CASH,65,12/31/1999,BANK,INSERTED: Account Interest,-15,0,0,0,0,15,0,0,15,1,24631.79,24631.79,0,24631.79,0,0,0,15,15,-28.21
StockBrokerage1,CASH,67,12/31/2000,BANK,INSERTED: Account Interest,-15,0,0,0,0,15,0,0,15,1,24646.79,24646.79,0,24646.79,0,0,0,15,15,-13.21
StockBrokerage1,CASH,69,12/31/2001,BANK,INSERTED: Account Interest,-18,0,0,0,0,18,0,0,18,1,24664.79,24664.79,0,24664.79,0,0,0,18,18,4.79
StockBrokerage1,CASH,71,12/31/2002,BANK,INSERTED: account Interest,-21,0,0,0,0,21,0,0,21,1,24685.79,24685.79,0,24685.79,0,0,0,21,21,25.79
StockBrokerage1,CASH,73,12/31/2003,BANK,INSERTED: account Interest,-12,0,0,0,0,12,0,0,12,1,24697.79,24697.79,0,24697.79,0,0,0,12,12,37.79
StockBrokerage1,CASH,75,12/31/2004,BANK,INSERTED: Account Interest,-21.18,0,0,0,0,21.18,0,0,21.18,1,24718.97,24718.97,0,24718.97,0,0,0,21.18,21.18,58.97
StockBrokerage1,CASH,77,12/31/2005,BANK,INSERTED: Account Interest,-32.16,0,0,0,0,32.16,0,0,32.16,1,24751.13,24751.13,0,24751.13,0,0,0,32.16,32.16,91.13
StockBrokerage1,CASH,103.1,12/28/2006,DIVIDENDXFR,INSERTED: Dividend Transfer Dell,0,0,0,0,0,0,0,0,0,1,24751.13,24751.13,0,24751.13,0,0,0,0,0,91.13
StockBrokerage1,CASH,79,12/31/2006,BANK,INSERTED: Account Interest,-31.15,0,0,0,0,31.15,0,0,31.15,1,24782.28,24782.28,0,24782.28,0,0,0,31.15,31.15,122.28
StockBrokerage1,CASH,107,11/13/2007,BANK,INSERTED: Transfer Out to Checking,0,721.24,0,0,0,0,0,0,-721.24,1,24061.04,24061.04,0,24061.04,0,0,0,0,0,122.28
StockBrokerage1,CASH,110,11/21/2007,BANK,INSERTED: Transfer Again out to checking,0,212.26,0,0,0,0,0,0,-212.26,1,23848.78,23848.78,0,23848.78,0,0,0,0,0,122.28
StockBrokerage1,CASH,81,12/31/2007,BANK,INSERTED: Account Interest,-21.89,0,0,0,0,21.89,0,0,21.89,1,23870.67,23870.67,0,23870.67,0,0,0,21.89,21.89,144.17
StockBrokerage1,CASH,83,12/31/2008,BANK,INSERTED: Account Interest,-22.15,0,0,0,0,22.15,0,0,22.15,1,23892.82,23892.82,0,23892.82,0,0,0,22.15,22.15,166.32
StockBrokerage1,CASH,85,12/31/2008,BANK,INSERTED: Account Interest,-41.12,0,0,0,0,41.12,0,0,41.12,1,23933.94,23933.94,0,23933.94,0,0,0,41.12,41.12,207.44
StockBrokerage1,CASH,12.1,3/10/2009,BUY,INSERTED: Buy Vanguard,0,11486.82,0,0,0,0,0,0,-11486.82,1,12447.12,12447.12,0,12447.12,0,0,0,0,0,207.44
StockBrokerage1,CASH,10.1,12/30/2009,DIVIDEND_REINVEST,INSERTED: Dividend Reinvest Vanguard,0,0,0,0,0,0,0,0,0,1,12447.12,12447.12,0,12447.12,0,0,0,0,0,207.44
StockBrokerage1,CASH,87,12/31/2009,BANK,INSERTED: Account Interest,-22.12,0,0,0,0,22.12,0,0,22.12,1,12469.24,12469.24,0,12469.24,0,0,0,22.12,22.12,229.56
StockBrokerage1,CASH,99.1,1/8/2010,BUY_XFER,INSERTED: Buy Yahoo,0,0,0,0,0,0,0,0,0,1,12469.24,12469.24,0,12469.24,0,0,0,0,0,229.56
StockBrokerage1,CASH,122.1,1/9/2010,MISCINC,INSERTED: Return of Capital from Yahoo,-16.32,0,0,0,0,0,0,0,16.32,1,12485.56,12485.56,0,12485.56,0,0,0,0,0,229.56
StockBrokerage1,CASH,20.1,2/2/2010,BUY,INSERTED: Buy ARO (Split Test),0,3797,0,0,0,0,0,0,-3797,1,8688.56,8688.56,0,8688.56,0,0,0,0,0,229.56
StockBrokerage1,CASH,89.1,2/10/2010,SHORT,INSERTED: short Citi,-151.18,0,0,0,0,0,0,0,151.18,1,8839.74,8839.74,0,8839.74,0,0,0,0,0,229.56
StockBrokerage1,CASH,18.1,3/15/2010,BUY,INSERTED: Buy ARO,0,1720,0,0,0,0,0,0,-1720,1,7119.74,7119.74,0,7119.74,0,0,0,0,0,229.56
StockBrokerage1,CASH,16.1,3/15/2010,SHORT,INSERTED: Short Citi,-285.2,0,0,0,0,0,0,0,285.2,1,7404.94,7404.94,0,7404.94,0,0,0,0,0,229.56
StockBrokerage1,CASH,112.1,3/28/2010,MISCINC,INSERTED: LTCAP Vanguard,-7.61,0,0,0,0,0,0,0,7.61,1,7412.55,7412.55,0,7412.55,0,0,0,0,0,229.56
StockBrokerage1,CASH,14.1,3/29/2010,DIVIDEND,INSERTED: Dividend ARO,-97.21,0,0,0,0,0,0,0,97.21,1,7509.76,7509.76,0,7509.76,0,0,0,0,0,229.56
StockBrokerage1,CASH,92.1,3/31/2010,MISCEXP,INSERTED: Payment of Divs on Short Citi,0,12.27,0,0,0,0,0,0,-12.27,1,7497.49,7497.49,0,7497.49,0,0,0,0,0,229.56
StockBrokerage1,CASH,6.1,4/8/2010,MISCEXP,INSERTED: Tax Expense ARO,0,3.76,0,0,0,0,0,0,-3.76,1,7493.73,7493.73,0,7493.73,0,0,0,0,0,229.56
StockBrokerage1,CASH,4.1,4/15/2010,SELL,INSERTED: Sell ARO,-927,0,0,0,0,0,0,0,927,1,8420.73,8420.73,0,8420.73,0,0,0,0,0,229.56
StockBrokerage1,CASH,115.1,4/28/2010,SELL_XFER,INSERTED: Sell Xfer ARO,0,0,0,0,0,0,0,0,0,1,8420.73,8420.73,0,8420.73,0,0,0,0,0,229.56
StockBrokerage1,CASH,96.1,4/28/2010,COVER,INSERTED: Cover Citigroup,0,165.31,0,0,0,0,0,0,-165.31,1,8255.42,8255.42,0,8255.42,0,0,0,0,0,229.56
StockBrokerage1,CASH,128.1,5/3/2010,SELL,INSERTED: Sell VFINX,-18012.4,0,0,0,0,0,0,0,18012.4,1,26267.82,26267.82,0,26267.82,0,0,0,0,0,229.56
StockBrokerage1,CASH,126.1,5/14/2010,SELL,INSERTED: Sell  ARO,-2457.06,0,0,0,0,0,0,0,2457.06,1,28724.88,28724.88,0,28724.88,0,0,0,0,0,229.56
StockBrokerage2,Dell,143,3/29/2010,BUY,Buy Dell,-2974.7,0,0,0,-12.21,0,0,0,197,14.92,197,2986.91,0,2939.24,-47.67,-47.67,0,0,-47.67,-47.67
StockBrokerage2,Financial Select Sector SPDR,133,8/24/2009,BUY,Buy XLF,-3170.37,0,0,0,-6.77,0,0,0,217,14.44,217,3177.14,0,3133.48,-43.66,-43.66,0,0,-43.66,-43.66
StockBrokerage2,Financial Select Sector SPDR,135,9/18/2009,DIVIDEND,,0,0,0,0,0,10.2,0,0,0,15.14,217,3177.14,0,3285.38,108.24,151.9,0,10.2,151.9,108.24
StockBrokerage2,Financial Select Sector SPDR,138,12/18/2009,DIVIDEND,,0,0,0,0,0,11.28,0,0,0,14.22,217,3177.14,0,3085.74,-91.4,-199.64,0,11.28,-199.64,-91.4
StockBrokerage2,Financial Select Sector SPDR,141,4/5/2010,SELL,Sell XLF,0,3526.25,0,0,-19.04,0,0,0,-217,16.24,0,0,0,0,0,0,330.07,0,330.07,238.67
StockBrokerage2,CASH,191,8/13/2009,BANK,Inserted for Inital Balance: StockBrokerage2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
StockBrokerage2,CASH,131,8/14/2009,BANK,INSERTED: Xfr from Checking,-10000,0,0,0,0,0,0,0,10000,1,10000,10000,0,10000,0,0,0,0,0,0
StockBrokerage2,CASH,133.1,8/24/2009,BUY,INSERTED: Buy XLF,0,3177.14,0,0,0,0,0,0,-3177.14,1,6822.86,6822.86,0,6822.86,0,0,0,0,0,0
StockBrokerage2,CASH,135.1,9/18/2009,DIVIDEND,INSERTED: ,-10.2,0,0,0,0,0,0,0,10.2,1,6833.06,6833.06,0,6833.06,0,0,0,0,0,0
StockBrokerage2,CASH,138.1,12/18/2009,DIVIDEND,INSERTED: ,-11.28,0,0,0,0,0,0,0,11.28,1,6844.34,6844.34,0,6844.34,0,0,0,0,0,0
StockBrokerage2,CASH,143.1,3/29/2010,BUY,INSERTED: Buy Dell,0,2986.91,0,0,0,0,0,0,-2986.91,1,3857.43,3857.43,0,3857.43,0,0,0,0,0,0
StockBrokerage2,CASH,141.1,4/5/2010,SELL,INSERTED: Sell XLF,-3507.21,0,0,0,0,0,0,0,3507.21,1,7364.64,7364.64,0,7364.64,0,0,0,0,0,0
StockBrokerage3,CASH,192,3/31/2010,BANK,Inserted for Inital Balance: StockBrokerage3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
StockBrokerage3,CASH,148,4/1/2010,BANK,INSERTED: Xfer from Checking,-621.38,0,0,0,0,0,0,0,621.38,1,621.38,621.38,0,621.38,0,0,0,0,0,0
StockBrokerage4,Vanguard Total Bond Market Index Inv,150,3/11/2010,BUY,Buy VBMFX,-221.26,0,0,0,-2.73,0,0,0,21.173,10.45,21.173,223.99,0,221.25785,-2.73215,-2.73215,0,0,-2.73215,-2.73215
StockBrokerage4,CASH,193,3/10/2010,BANK,Inserted for Inital Balance: StockBrokerage4,-1217.63,0,0,0,0,0,0,0,1217.63,1,1217.63,1217.63,0,1217.63,0,0,0,0,0,0
StockBrokerage4,CASH,150.1,3/11/2010,BUY,INSERTED: Buy VBMFX,0,223.99,0,0,0,0,0,0,-223.99,1,993.64,993.64,0,993.64,0,0,0,0,0,0
StockBrokerage5,CASH,194,5/12/2010,BANK,Inserted for Inital Balance: StockBrokerage5,-2817.05,0,0,0,0,0,0,0,2817.05,1,2817.05,2817.05,0,2817.05,0,0,0,0,0,0
StockBrokerage5,CASH,153,5/13/2010,BANK,INSERTED: Account Interest,-56.34,0,0,0,0,56.34,0,0,56.34,1,2873.39,2873.39,0,2873.39,0,0,0,56.34,56.34,56.34
StockBrokerage6,Aeropostale,176,2/8/2010,BUY,Buy ARO,-11123.12,0,0,0,-12.46,0,0,0,326,33.51999501,326,11135.58,0,10927.51837,-208.061626,-208.061626,0,0,-208.061626,-208.061626
StockBrokerage6,Aeropostale,179,3/26/2010,BUY,Buy ARO,-1796.13,0,0,0,-9.26,0,0,0,63,28.60000406,552,12940.97,0,15787.20224,2846.232242,3054.293868,0,0,3054.293868,2846.232242
StockBrokerage6,Aeropostale,182,5/20/2010,SELL,Sell ARO,0,1383.12,0,0,-4.19,0,0,0,-51,27.29,501,11745.3369,0,13672.29,1926.953098,-656.3120347,183.2969022,0,-473.0151325,2373.217109
StockBrokerage6,Aeropostale,187,5/28/2010,SELL,Sell ARO,0,335.16,0,0,-6.21,0,0,0,-12,27.71,489,11464.01147,0,13550.19,2086.178533,205.38,47.62456522,0,253.0045652,2626.221675
StockBrokerage6,Citigroup,155,2/13/2010,BUY,Buy Citigroup,-1338.78,0,0,0,-6.21,0,0,0,421,3.18,421,1344.99,0,1338.78,-6.21,-6.21,0,0,-6.21,-6.21
StockBrokerage6,Citigroup,161,2/24/2010,BUY,Buy Citigroup,-307.05,0,0,0,-7.16,0,0,0,89,3.450000029,510,1659.2,0,1759.500015,100.300015,106.510015,0,0,106.510015,100.300015
StockBrokerage6,Citigroup,158,4/1/2010,SELL,Sell Citigroup,0,259.16,0,0,-2.96,0,0,0,-62,4.179999996,448,1457.493333,0,1872.639998,415.1466648,327.039985,54.49333333,0,381.5333183,481.8333333
StockBrokerage6,Citigroup,164,5/21/2010,SELL,Sell Citigroup,0,72,0,0,-1.79,0,0,0,-20,3.6,428,1392.426667,0,1540.8,148.3733333,-248.2399982,5.143333333,0,-243.0966649,238.7366684
StockBrokerage6,Dell,167,6/30/2005,SHORT,Short Dell,0,0,12295.92,0,-8.32,0,0,0,-312,39.41,-312,0,-12287.6,-12295.92,-8.32,-8.32,0,0,-8.32,-8.32
StockBrokerage6,Dell,170,6/11/2006,SHORT,Short Dell,0,0,4024,0,-6.41,0,0,0,-160,25.15,-472,0,-16305.19,-11870.8,4434.39,4442.71,0,0,4442.71,4434.39
StockBrokerage6,Dell,173,1/5/2010,COVER,Cover Dell,0,0,0,-1108.84,-9.41,0,0,0,76,14.59,-396,0,-13679.77805,-5777.64,7902.138051,4181.76,1507.161949,0,5688.921949,10123.31195
StockBrokerage6,CASH,195,6/29/2005,BANK,Inserted for Inital Balance: StockBrokerage6,-15000,0,0,0,0,0,0,0,15000,1,15000,15000,0,15000,0,0,0,0,0,0
StockBrokerage6,CASH,167.1,6/30/2005,SHORT,INSERTED: Short Dell,-12287.6,0,0,0,0,0,0,0,12287.6,1,27287.6,27287.6,0,27287.6,0,0,0,0,0,0
StockBrokerage6,CASH,170.1,6/11/2006,SHORT,INSERTED: Short Dell,-4017.59,0,0,0,0,0,0,0,4017.59,1,31305.19,31305.19,0,31305.19,0,0,0,0,0,0
StockBrokerage6,CASH,173.1,1/5/2010,COVER,INSERTED: Cover Dell,0,1118.25,0,0,0,0,0,0,-1118.25,1,30186.94,30186.94,0,30186.94,0,0,0,0,0,0
StockBrokerage6,CASH,176.1,2/8/2010,BUY,INSERTED: Buy ARO,0,11135.58,0,0,0,0,0,0,-11135.58,1,19051.36,19051.36,0,19051.36,0,0,0,0,0,0
StockBrokerage6,CASH,155.1,2/13/2010,BUY,INSERTED: Buy Citigroup,0,1344.99,0,0,0,0,0,0,-1344.99,1,17706.37,17706.37,0,17706.37,0,0,0,0,0,0
StockBrokerage6,CASH,161.1,2/24/2010,BUY,INSERTED: Buy Citigroup,0,314.21,0,0,0,0,0,0,-314.21,1,17392.16,17392.16,0,17392.16,0,0,0,0,0,0
StockBrokerage6,CASH,179.1,3/26/2010,BUY,INSERTED: Buy ARO,0,1805.39,0,0,0,0,0,0,-1805.39,1,15586.77,15586.77,0,15586.77,0,0,0,0,0,0
StockBrokerage6,CASH,158.1,4/1/2010,SELL,INSERTED: Sell Citigroup,-256.2,0,0,0,0,0,0,0,256.2,1,15842.97,15842.97,0,15842.97,0,0,0,0,0,0
StockBrokerage6,CASH,182.1,5/20/2010,SELL,INSERTED: Sell ARO,-1378.93,0,0,0,0,0,0,0,1378.93,1,17221.9,17221.9,0,17221.9,0,0,0,0,0,0
StockBrokerage6,CASH,164.1,5/21/2010,SELL,INSERTED: Sell Citigroup,-70.21,0,0,0,0,0,0,0,70.21,1,17292.11,17292.11,0,17292.11,0,0,0,0,0,0
StockBrokerage6,CASH,187.1,5/28/2010,SELL,INSERTED: Sell ARO,-328.95,0,0,0,0,0,0,0,328.95,1,17621.06,17621.06,0,17621.06,0,0,0,0,0,0
