InvAcct,Security,SecType,SecSubType,Ticker,Last Price,End Pos,End Value,Abs PrcChg,Abs ValChg,Pct PrcChg,TR 1Day,TR 1Wk,TR 1Mth,TR 3Mth,TR YTD,TR 1Year,TR 3Year,TR ALL,AnnRet All,Long Basis,Short Basis,Income,Ann. Div,Div Yield,Yield On Basis,Rlzd Gain,Unrlzd Gain,Total Gain
StockBrokerage4  ,Securities/CASH-ALL,,,,0,0,1217.65,0,0.21,0,1.81E-04,-5.17E-04,0.001225168,,,,,1.66E-05,7.22E-05,1217.63,0,0,0,0,0,0,0.02,0.02
StockBrokerage5,Yahoo,STOCK,None,YHOO,15.02,0,0,-0.32,0,-0.020860495,,,,,,,,NaN,,0,0,0,0,0,0,0,0,0
StockBrokerage5,CASH,MUTUAL,Money Market,CASH,1,2873.39,2873.39,0,0,0,0,0,,,,,,0.020608081,0.43532542,2873.39,0,56.34,57.47,0.01,0,0,0,0
StockBrokerage5  ,Securities/CASH-ALL,,,,0,0,2873.39,0,0,0,0,0,,,,,,0.020608081,0.43532542,2873.39,0,56.34,57.47,0.01,0,0,0,0
StockBrokerage6,Aeropostale,STOCK,Mid Cap,ARO,27.46,489,13427.94,-0.25,-122.25,-0.009022014,-0.009022014,-0.035990199,-0.057799118,0.165386418,,,,0.187012708,0.718780382,11464.01,0,0,0,0,0,230.92,1963.93,2194.85
StockBrokerage6,Citigroup,STOCK,Large Cap,C,3.85,428,1647.8,-0.11,-47.08,-0.027777778,-0.027777778,0.018518519,-0.123989895,0.158199849,,,,0.215493811,0.920303269,1392.42,0,0,0,0,0,59.63,255.38,315.01
StockBrokerage6,Dell,STOCK,Large Cap,DELL,13.09,-396,-5183.64,-0.24,95.04,-0.018004501,-0.018004501,-0.018004501,-0.190976514,-0.014307229,-0.078987187,0.15583506,-0.516594312,-0.648236175,-0.186599153,0,-13679.78,0,0,0,0,1507.16,8496.14,10003.3
StockBrokerage6,CASH,MUTUAL,Money Market,CASH,1,17621.06,17621.06,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,0,17621.06,0,0,0,0,0,0,0,0
StockBrokerage6 ,All Securities ,,,,0,0,9892.1,0,-74.29,0,-0.007454053,-0.036638743,0.00814951,0.272823729,0.681964949,-1.920374521,-0.8011668,-0.85790232,-0.576769583,12856.43,-13679.78,0,0,0,0,1797.71,10715.45,12513.16
StockBrokerage6  ,Securities/CASH-ALL,,,,0,0,27513.16,0,-74.29,0,-0.002692891,-0.013679281,0.003268361,0.094320291,0.120443858,0.066722808,0.492925021,0.834674633,0.131048087,30477.49,-13679.78,0,0,0,0,1797.71,10715.45,12513.16
Accounts-ALL,All CASH ,,,,1,58198.99,58198.99,0,0,0,0,0.00E+00,0.001059813,0.001423411,0.001367712,0.001729141,0.003196413,0.008011882,6.48E-04,58198.99,0,341.11,129.35,0.002544539,0.002544539,0,0,0
Accounts-ALL,All Securities ,,,,0,0,23616.86,0,-320.43,0,-0.013385403,-0.026357938,-0.205186971,0.005045941,0.002875032,0.148872777,0.143620113,2.954140894,0.10458827,27301.94,-13984.13,569.58,141.17,0.012987013,0,6504.06,10299.05,16803.11
Accounts-ALL,Securities/CASH-ALL,,,,0,0,81815.85,0,-320.43,0,-0.003900957,-0.007799754,-0.080389546,0.003238191,0.002084454,0.055624116,0.036798105,0.424783888,0.029596803,85500.93,-13984.13,910.69,270.52,0.003505122,0.003610525,6504.06,10299.05,16803.11
